City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nakhon ratchasima,15.0,102.1667,21.28,71,17,2.72,TH,1704399479
1,ushuaia,-54.8,-68.3,9.81,76,100,5.14,AR,1704399480
2,margaret river,-33.95,115.0667,13.2,82,17,5.4,AU,1704399480
3,cabo san lucas,22.8909,-109.9124,25.9,42,20,5.81,MX,1704399480
4,geraldton,-28.7667,114.6,24.23,35,0,11.32,AU,1704399480
5,"laikit, laikit ii (dimembe)",1.4792,124.9735,23.47,94,40,1.03,ID,1704399480
6,port-aux-francais,-49.35,70.2167,4.74,70,37,13.0,TF,1704399481
7,tiksi,71.6872,128.8694,-34.52,99,94,1.27,RU,1704399481
8,yellowknife,62.456,-114.3525,-32.62,80,75,3.09,CA,1704399209
9,grytviken,-54.2811,-36.5092,7.22,77,83,2.95,GS,1704399199
10,rio grande,-32.035,-52.0986,25.06,73,10,8.19,BR,1704399377
11,kinablangan,7.6947,126.5503,24.56,83,58,2.59,PH,1704399482
12,mana,5.6592,-53.7767,28.05,69,32,3.91,GF,1704399255
13,edinburgh of the seven seas,-37.0676,-12.3116,15.01,69,7,12.23,SH,1704399205
14,berrahal,36.8353,7.4533,12.85,65,55,1.92,DZ,1704399482
15,ribeira grande,38.5167,-28.7,17.65,88,75,7.72,PT,1704399234
16,codrington,-38.2667,141.9667,16.93,93,100,5.4,AU,1704399287
17,urengoy,65.9667,78.3667,-25.59,85,93,6.51,RU,1704399483
18,ust-nera,64.5667,143.2,-43.0,99,78,1.44,RU,1704399258
19,puerto natales,-51.7236,-72.4875,14.25,88,75,2.57,CL,1704399220
20,blackmans bay,-43.0167,147.3167,12.07,84,32,1.04,AU,1704399204
21,qianzhou,28.3167,109.7167,9.75,81,99,0.49,CN,1704399483
22,georgetown,5.4112,100.3354,26.96,89,20,0.0,MY,1704399093
23,hermanus,-34.4187,19.2345,22.62,72,69,3.51,ZA,1704399224
24,port mathurin,-19.6833,63.4167,28.01,82,76,3.9,MU,1704399208
25,puerto ayora,-0.7393,-90.3518,28.98,91,72,2.68,EC,1704399213
26,hiratacho,35.4333,132.8167,1.01,82,20,5.1,JP,1704399484
